date,runs,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_cost_usd,models
2026-04-08,8,3276,944751,0,0,31.0577,claude-opus-4|fallback
2026-04-09,6,2716,983616,0,0,24.3913,claude-opus-4|fallback
2026-04-16,67,36035,6916520,0,0,280.6976,claude-opus-4|fallback
2026-04-17,38,19196,3046394,0,0,69.4503,claude-opus-4|fallback
2026-04-25,32,26989,1786798,0,0,44.0537,claude-opus-4|fallback
2026-04-26,48,37799,2895265,0,0,86.9419,claude-opus-4|fallback
2026-04-27,31,16565,18159441,0,0,304.5362,claude-opus-4|fallback
